title,decade
Night Call Nurses,1970s
Night Moves (1975 film),1970s
Night Watch (1973 film),1970s
Night of Dark Shadows,1970s
Night of the Cobra Woman,1970s
Night of the Lepus,1970s
Night of the Strangler,1970s
Nightmare Honeymoon,1970s
Nightmare in Badham County,1970s
Nightmare in Blood,1970s
Nightwing (film),1970s
No Blade of Grass (film),1970s
"No Deposit, No Return",1970s
Nocturna: Granddaughter of Dracula,1970s
Norma Rae,1970s
North Dallas Forty,1970s
Norwood (film),1970s
Nothing by Chance,1970s
"Now You See Him, Now You Don't",1970s
Nunzio (film),1970s
Nymph (1973 film),1970s
Obsessed (1977 film),1970s
Obsession (1976 film),1970s
Octaman,1970s
Ode to Billy Joe (film),1970s
"Oh, God! (film)",1970s
Oklahoma Crude (film),1970s
Old Boyfriends,1970s
Oliver's Story,1970s
Olly Olly Oxen Free (film),1970s
On a Clear Day You Can See Forever (film),1970s
Once Is Not Enough (film),1970s
Once Upon a Brothers Grimm,1970s
Once Upon a Girl,1970s
One Away (film),1970s
One Flew Over the Cuckoo's Nest (film),1970s
One Is a Lonely Number,1970s
One More Time (1970 film),1970s
One More Train to Rob,1970s
One Summer Love,1970s
One in a Million: The Ron LeFlore Story,1970s
One of Our Dinosaurs Is Missing,1970s
One on One (1977 film),1970s
Opening Night (1977 film),1970s
Operation Daybreak,1970s
Orca (1977 film),1970s
Our Time (1974 film),1970s
Our Winning Season,1970s
Outlaw Blues,1970s
Over the Edge (film),1970s
Paper Man (1971 film),1970s
Paper Moon (film),1970s
Papillon (1973 film),1970s
Paradise Alley,1970s
Parts: The Clonus Horror,1970s
Pat Garrett and Billy the Kid,1970s
Patton (film),1970s
Payday (1972 film),1970s
Peeper (film),1970s
Penitentiary (1979 film),1970s
People Toys,1970s
Perfect Gentlemen (film),1970s
Permission to Kill,1970s
Pete 'n' Tillie,1970s
Pete's Dragon (1977 film),1970s
Petey Wheatstraw (film),1970s
Phantasm (film),1970s
Phantom of the Paradise,1970s
Phase IV (1974 film),1970s
Pick-Up (1975 film),1970s
Pickup on 101,1970s
Pieces of Dreams (film),1970s
Pigs (1973 film),1970s
Pink Flamingos,1970s
Pipe Dreams (1976 film),1970s
Piranha (1978 film),1970s
Planet Earth (film),1970s
Planet of Dinosaurs,1970s
"Play It Again, Sam (film)",1970s
Play It as It Lays (film),1970s
Play Misty for Me,1970s
Plaza Suite (film),1970s
Please Don't Eat My Mother,1970s
Pocket Money,1970s
Poco... Little Dog Lost,1970s
Point of Terror,1970s
Policewomen (film),1970s
Pony Express Rider,1970s
Poor Pretty Eddie,1970s
Popeye Meets the Man Who Hated Laughter,1970s
Portnoy's Complaint (film),1970s
Portrait of a Hitman,1970s
Posse (1975 film),1970s
Preacherman,1970s
Premonition (1972 film),1970s
Pretty Baby (1978 film),1970s
Pretty Maids All in a Row,1970s
Prime Cut,1970s
Private Duty Nurses,1970s
Private Parts (1972 film),1970s
Project Kill,1970s
Promise at Dawn (1970 film),1970s
Promises in the Dark (film),1970s
Prophecy (film),1970s
Psychic Killer,1970s
Pufnstuf (film),1970s
Pumping Iron,1970s
"Pussycat, Pussycat, I Love You",1970s
Puzzle of a Downfall Child,1970s
Queen of the Stardust Ballroom,1970s
Quintet (film),1970s
R. P. M.,1970s
Rabbit Test (film),1970s
"Rabbit, Run (film)",1970s
Rabid (1977 film),1970s
Race with the Devil,1970s
Rafferty and the Gold Dust Twins,1970s
Raid on Entebbe (film),1970s
Raid on Rommel,1970s
Rain for a Dusty Summer,1970s
Rancho Deluxe,1970s
Rattlers (film),1970s
Ravagers (film),1970s
Real Life (1979 film),1970s
Record City,1970s
Red Alert (film),1970s
Red Sky at Morning (1971 film),1970s
Reflections of Murder,1970s
Remember My Name,1970s
Report to the Commissioner,1970s
Rescue from Gilligan's Island,1970s
